Age,Education Level,Years of Experience,Industry,Role,Hours Worked per Week,Job Satisfaction,Number of Projects Completed,Performance
61,1,5,5,4,22,3,16,0
51,2,8,4,4,35,4,4,0
27,3,40,1,3,51,3,11,0
53,4,10,4,5,54,3,10,0
31,2,42,3,9,34,2,9,0
48,4,3,4,9,30,4,9,0
32,3,5,4,5,63,4,1,0
25,4,5,1,5,24,1,6,0
31,3,42,4,1,55,2,6,0
40,3,16,3,7,45,1,0,0
57,4,31,2,7,51,4,5,1
38,4,23,5,1,45,5,0,0
33,1,10,2,6,39,3,14,0
62,4,42,5,6,54,2,4,0
35,2,25,1,4,20,2,4,0
64,1,17,2,7,39,4,1,0
41,4,29,3,5,54,1,19,0
43,1,42,5,2,41,2,5,0
42,1,31,4,2,38,5,6,0
62,3,6,3,8,39,5,19,0
58,3,4,3,7,36,2,9,0
46,3,5,2,1,26,1,18,0
32,3,13,5,3,35,4,18,0
62,3,19,2,3,63,3,8,0
18,3,18,1,8,35,1,14,0
42,1,32,5,8,54,1,15,0
24,3,38,4,9,23,4,4,0
26,2,45,4,9,29,3,10,0
41,4,11,4,3,41,1,10,0
18,4,18,1,3,35,1,0,0
61,3,38,4,4,22,1,11,0
25,1,43,1,7,36,1,12,0
41,2,14,1,1,25,5,10,0
28,1,8,1,3,53,5,7,0
34,1,40,1,3,32,3,6,0
25,2,16,4,7,58,1,4,0
52,3,7,5,3,50,5,5,1
52,4,2,3,9,58,1,18,0
50,4,13,1,4,23,3,2,0
22,4,10,1,4,54,1,1,0
59,1,11,2,5,48,2,18,0
56,1,3,3,1,51,4,3,0
58,4,16,3,1,43,5,3,0
45,2,28,2,8,22,1,17,0
24,3,45,1,3,62,2,14,0
26,2,22,1,6,21,2,12,0
25,2,14,2,1,43,1,13,0
29,1,11,2,3,46,1,5,0
51,3,32,3,7,62,2,11,0
50,4,12,1,4,28,2,1,0
40,1,30,2,4,54,3,4,0
41,3,9,3,3,55,4,6,1
54,4,34,2,9,26,5,10,0
52,2,37,3,9,33,2,8,0
61,3,22,2,2,29,5,19,0
57,1,46,4,4,22,3,12,0
39,3,12,4,9,39,5,1,0
44,3,30,3,7,26,4,18,0
52,1,38,4,7,27,5,1,0
18,1,11,4,4,53,5,6,0
52,1,22,4,5,37,3,19,0
54,2,25,5,9,32,4,15,0
64,4,30,2,6,40,2,8,0
31,1,26,5,5,25,5,18,0
20,2,18,4,8,29,3,6,0
18,3,12,5,1,45,1,5,0
22,3,29,4,7,50,2,15,0
43,1,0,4,2,43,5,1,0
31,2,2,3,7,52,1,14,0
56,2,7,3,2,32,5,9,0
44,2,25,2,9,21,2,17,0
26,1,8,4,9,52,4,14,0
32,1,29,2,1,39,2,11,0
32,2,42,2,9,40,4,8,0
43,3,13,5,7,21,2,1,0
59,3,16,4,6,41,5,10,1
30,1,6,4,9,56,4,18,0
49,1,39,5,1,44,3,7,0
56,2,1,5,5,40,3,9,0
49,2,20,1,3,42,4,3,0
21,2,7,1,6,38,3,18,0
47,3,37,2,8,63,1,2,0
54,2,5,1,9,56,4,5,1
40,4,17,1,6,42,4,4,0
56,2,38,4,9,36,2,13,0
62,4,1,5,3,62,1,1,0
32,1,1,1,6,27,4,13,0
60,1,2,4,1,21,5,1,0
46,2,28,2,4,40,5,2,0
53,4,6,1,3,64,1,7,0
30,1,46,4,8,54,3,7,0
49,2,29,4,9,48,3,15,0
24,2,34,4,6,32,2,19,0
39,2,16,3,6,36,3,8,0
45,4,46,4,6,24,1,17,0
19,1,16,1,4,51,3,10,0
59,2,16,5,6,27,3,14,0
62,1,32,5,1,32,2,11,0
23,3,41,2,2,52,5,14,1
45,3,34,1,4,43,5,14,1
45,1,6,3,8,36,3,0,0
61,3,38,4,9,32,2,10,0
61,3,36,5,7,47,5,12,1
37,3,19,1,1,42,2,15,0
47,2,37,2,5,64,1,4,0
28,4,25,3,2,28,3,10,0
45,3,4,1,9,58,4,12,0
42,2,38,4,2,59,5,2,0
56,1,28,3,5,24,4,7,0
50,1,13,1,8,20,3,8,0
18,3,28,3,5,37,3,0,0
44,2,44,3,6,27,5,10,0
30,4,38,5,2,50,4,2,0
58,4,37,5,5,50,1,17,0
20,1,14,2,1,62,2,8,0
56,1,41,3,7,47,2,12,0
23,2,1,2,6,28,3,16,0
25,3,3,3,8,61,1,0,0
44,1,19,3,1,26,2,13,0
26,3,37,4,7,27,3,7,0
54,3,17,5,7,48,4,16,1
50,2,41,1,2,45,5,12,1
59,3,5,1,8,36,3,10,0
61,1,45,1,5,25,4,13,0
41,2,46,5,8,27,3,12,0
32,4,21,5,9,62,5,3,0
49,3,11,5,5,24,1,18,0
49,2,5,3,6,49,5,3,0
41,2,13,2,8,29,5,2,0
58,4,17,1,9,37,1,11,0
29,2,22,2,3,43,3,15,0
56,4,19,4,7,54,1,6,0
19,3,18,5,3,24,5,17,0
20,2,4,2,9,43,2,18,0
54,4,31,3,6,61,4,10,1
34,4,25,2,5,22,2,2,0
19,3,41,2,6,31,3,4,0
19,2,39,1,1,54,4,12,1
45,3,30,5,3,63,4,2,0
40,4,19,4,4,55,3,18,0
54,2,44,1,4,49,4,13,1
49,3,11,3,5,57,3,10,0
50,1,40,2,2,59,4,16,0
18,1,45,2,6,29,3,11,0
36,2,9,4,4,56,3,6,0
19,1,41,4,4,37,3,13,0
61,3,1,5,2,27,5,19,0
43,1,15,4,5,28,2,8,0
49,3,44,4,9,49,4,0,0
23,3,46,1,7,27,2,1,0
49,1,40,5,5,36,3,10,0
21,4,43,4,6,40,5,16,0
28,1,6,3,2,34,3,18,0
34,3,18,1,8,20,3,11,0
55,1,20,4,3,59,2,12,0
41,1,24,4,4,30,4,19,0
22,2,11,4,5,25,2,18,0
51,3,17,5,1,56,2,13,0
23,4,0,2,1,35,5,6,0
39,2,40,3,1,31,1,13,0
28,3,14,2,8,52,2,17,0
33,1,14,3,5,57,1,15,0
50,4,4,5,6,23,4,17,0
26,3,16,3,7,22,3,16,0
23,1,34,4,6,25,5,5,0
33,2,28,2,1,28,4,12,0
46,3,5,3,7,34,2,14,0
20,2,28,3,5,56,5,0,0
37,3,25,3,6,21,4,13,0
53,2,10,5,5,52,5,9,1
36,1,42,2,5,43,3,19,0
43,3,0,2,2,54,4,16,0
20,2,15,5,1,53,4,11,1
36,1,28,4,6,40,5,10,0
37,1,11,3,2,24,5,2,0
49,3,14,5,7,48,3,14,0
24,3,45,2,1,56,1,5,0
58,3,36,4,1,56,3,18,0
50,2,9,2,5,60,1,7,0
57,1,16,2,8,62,4,11,0
56,1,14,3,2,46,5,9,0
35,3,24,5,4,39,4,7,0
57,1,7,1,8,36,4,0,0
18,1,21,2,6,57,1,13,0
28,3,6,3,7,30,5,7,0
45,4,8,5,8,30,4,9,0
42,1,2,1,2,47,4,3,0
40,1,8,4,7,59,2,5,0
48,4,10,4,8,23,5,13,0
47,4,6,2,7,31,2,5,0
59,3,7,2,1,50,4,14,1
52,2,10,3,1,28,1,11,0
24,3,42,1,8,32,5,8,0
33,1,34,2,9,53,3,17,0
43,3,23,2,3,47,3,15,0
19,3,13,4,5,35,4,2,0
18,4,6,1,1,44,3,18,0
29,1,39,3,7,61,2,0,0
22,1,35,1,1,35,2,1,0
54,2,33,2,5,45,4,1,0
49,2,9,2,8,25,5,18,0
26,4,36,2,2,63,1,8,0
58,1,2,1,2,35,3,15,0
52,2,32,2,7,60,1,17,0
36,2,37,5,9,48,5,0,0
33,3,15,5,6,35,5,4,0
20,3,39,2,1,53,5,1,0
37,2,1,4,3,45,2,14,0
41,3,41,1,9,21,5,1,0
50,3,0,3,9,24,2,9,0
41,1,4,1,3,37,3,4,0
28,2,39,1,4,62,2,4,0
25,2,15,2,2,24,1,16,0
53,4,45,5,8,43,1,8,0
55,4,9,3,2,27,4,8,0
57,1,17,1,2,45,3,4,0
37,1,13,3,2,59,5,4,0
52,1,10,3,7,34,1,18,0
42,3,26,4,8,59,5,12,1
52,1,0,5,3,39,2,15,0
42,4,24,4,2,55,4,5,1
46,1,33,5,7,28,3,10,0
35,4,21,2,6,36,3,6,0
63,4,35,2,6,43,5,12,1
35,1,26,2,4,54,1,14,0
19,1,45,3,1,38,5,3,0
52,3,20,3,8,58,1,0,0
33,2,30,5,1,34,1,8,0
58,1,28,1,9,28,1,17,0
53,4,5,5,2,35,4,18,0
50,4,26,4,3,57,4,12,1
21,1,15,4,9,21,5,14,0
50,2,7,4,3,38,5,4,0
31,2,30,4,5,39,4,2,0
38,1,9,3,7,29,5,4,0
37,1,6,4,8,50,2,4,0
25,2,39,3,1,32,3,15,0
24,4,15,1,3,59,5,3,0
20,1,34,3,7,35,4,17,0
34,3,21,3,4,21,4,11,0
50,1,20,3,7,41,5,6,0
29,1,25,5,9,34,4,11,0
39,3,9,4,9,30,5,0,0
39,2,7,1,5,46,5,19,1
63,2,44,2,1,55,4,18,1
47,2,23,5,8,54,3,14,0
55,1,3,1,3,41,3,12,0
55,2,6,4,8,35,1,16,0
62,3,3,5,6,20,2,19,0
25,3,40,2,6,29,5,1,0
44,1,15,5,2,62,2,13,0
44,2,43,4,1,61,3,9,0
51,2,12,5,1,42,4,12,1
38,3,34,2,4,22,1,10,0
47,2,2,3,3,21,5,14,0
50,3,31,5,3,50,1,7,0
45,1,2,5,6,20,2,15,0
64,3,31,5,3,30,1,8,0
50,2,30,2,1,58,2,4,0
22,3,39,4,7,33,3,3,0
36,2,37,2,3,46,2,0,0
21,4,2,1,6,21,4,0,0
52,1,45,1,1,22,3,10,0
34,4,38,4,2,54,5,12,1
61,3,26,4,4,31,2,10,0
45,4,15,3,8,59,5,9,1
47,1,3,4,9,23,5,1,0
46,1,38,4,8,36,1,11,0
63,3,45,4,1,45,4,3,0
23,4,41,3,1,32,5,8,0
52,3,21,1,1,45,5,19,1
58,3,43,3,2,30,3,2,0
54,1,31,3,6,44,1,14,0
41,3,7,1,7,34,2,15,0
46,2,45,1,1,28,5,16,0
63,2,25,1,5,55,3,19,0
48,2,11,1,3,43,5,7,1
52,2,6,1,2,31,1,2,0
50,1,36,3,1,22,5,7,0
38,1,22,5,2,35,1,4,0
49,4,1,2,8,51,2,7,0
40,1,2,3,8,27,4,6,0
50,2,4,2,7,25,3,4,0
20,1,16,5,6,45,2,18,0
35,1,10,3,1,27,3,1,0
42,2,17,2,5,47,3,8,0
59,3,23,3,2,58,1,10,0
48,1,19,4,9,57,1,13,0
20,1,13,2,2,45,4,5,0
57,4,21,1,8,24,4,19,0
63,3,21,4,7,23,1,0,0
41,1,25,3,3,35,2,8,0
49,2,16,5,6,35,4,14,0
64,3,24,4,5,32,5,10,0
39,1,15,1,7,40,5,0,0
40,1,38,1,4,60,4,16,0
19,4,29,1,7,59,4,15,1
44,4,20,2,8,23,2,7,0
59,1,29,2,9,20,4,7,0
19,4,34,2,3,26,1,8,0
43,4,20,2,5,57,4,12,1
34,1,7,2,1,28,3,18,0
57,2,42,4,1,56,1,15,0
50,4,28,3,9,55,4,5,1
26,3,30,2,7,55,4,15,1
60,4,40,5,7,39,2,13,0
56,2,39,1,8,63,1,18,0
46,2,18,3,7,38,1,15,0
59,1,19,4,4,49,1,7,0
43,1,46,1,4,20,3,5,0
52,1,23,2,6,59,4,17,0
42,3,19,5,6,41,3,16,0
41,2,17,2,3,36,5,13,0
30,2,39,5,5,53,1,4,0
24,2,0,3,2,45,5,8,0
53,3,6,5,6,43,4,10,1
62,4,24,2,7,63,4,7,1
37,4,25,1,9,49,2,16,0
18,1,41,4,8,51,1,8,0
25,4,10,1,7,35,4,6,0
63,1,32,2,3,62,3,0,0
33,3,40,4,4,37,1,14,0
31,3,8,1,2,27,1,2,0
29,4,43,1,4,41,4,8,1
40,1,37,3,5,31,3,12,0
32,4,34,2,8,38,2,13,0
45,4,46,3,1,27,2,1,0
51,4,13,2,4,45,2,7,0
19,2,14,2,5,56,3,17,0
49,1,31,2,5,48,5,3,0
40,3,20,5,7,48,2,7,0
39,3,43,1,3,28,4,9,0
42,4,40,4,6,44,1,9,0
39,1,3,2,7,57,4,2,0
39,4,46,4,2,57,3,19,0
59,4,0,5,9,58,3,3,0
23,4,14,1,3,58,1,2,0
32,2,29,2,7,33,5,10,0
60,3,34,1,7,30,2,12,0
54,3,25,5,1,29,3,7,0
50,4,1,1,3,49,5,6,0
25,3,5,5,9,47,5,5,1
61,1,2,5,2,46,2,6,0
61,1,23,3,2,44,1,17,0
22,3,5,4,6,49,1,6,0
56,4,33,2,6,28,2,18,0
21,4,2,4,1,60,3,19,0
23,1,36,3,3,42,1,2,0
62,2,21,5,2,29,1,0,0
49,1,37,1,9,31,3,14,0
47,3,21,3,5,57,2,10,0
64,4,1,3,8,20,3,17,0
52,2,5,3,1,46,5,12,1
57,1,37,3,2,64,4,6,0
33,3,3,5,7,39,4,14,0
30,3,5,4,8,51,5,5,1
59,4,33,5,7,23,4,13,0
47,4,30,2,2,43,3,15,0
36,2,40,2,9,27,4,1,0
34,4,35,1,3,53,1,17,0
36,1,5,5,7,44,3,2,0
45,1,39,3,9,30,2,12,0
43,4,15,2,4,28,4,14,0
54,4,1,1,9,51,3,12,0
43,1,9,4,2,52,4,13,0
40,1,17,3,6,38,5,17,0
26,2,29,5,6,48,1,12,0
29,3,32,2,2,63,4,18,1
18,3,3,2,1,50,3,15,0
18,3,38,1,6,23,1,16,0
64,1,3,2,8,59,4,9,0
51,1,26,1,3,35,3,5,0
49,1,35,2,5,37,4,14,0
42,1,24,4,3,21,1,16,0
57,3,14,3,8,46,1,16,0
62,3,9,5,8,24,2,1,0
18,2,5,3,3,20,3,9,0
33,2,4,3,1,54,1,18,0
56,1,11,2,6,41,1,15,0
22,2,42,5,3,32,4,3,0
39,3,26,5,9,33,1,1,0
46,3,14,4,8,60,1,18,0
20,3,13,1,5,42,3,0,0
29,3,2,5,9,52,4,11,0
43,4,9,3,2,58,4,9,1
33,1,23,4,2,46,5,4,0
54,1,41,2,4,48,1,18,0
39,4,19,3,3,58,2,14,0
46,2,1,4,3,52,3,10,0
31,1,13,3,9,48,3,3,0
45,2,9,2,5,39,3,12,0
22,3,40,5,1,48,3,15,0
64,2,20,3,7,60,2,11,0
47,1,4,5,2,49,3,6,0
63,1,19,2,4,52,4,4,0
22,3,21,4,4,35,5,2,0
29,1,7,5,9,58,1,9,0
33,3,7,2,6,33,4,4,0
43,1,15,3,7,39,5,16,0
43,3,11,2,7,28,4,11,0
38,2,26,3,1,54,1,12,0
56,2,28,5,6,47,2,16,0
53,4,30,5,8,57,5,2,0
50,3,37,3,4,44,5,4,0
47,2,40,1,9,37,1,5,0
54,4,9,3,2,33,1,1,0
40,1,30,5,7,39,1,5,0
27,3,25,4,4,52,1,12,0
22,2,9,3,3,51,1,17,0
53,2,46,5,7,34,2,0,0
51,4,24,2,1,64,2,19,0
48,4,9,1,4,22,4,2,0
27,4,35,4,4,50,4,16,1
36,1,14,3,6,30,4,1,0
49,2,41,3,6,38,3,19,0
18,4,34,2,8,35,5,4,0
22,2,20,2,7,20,1,12,0
62,3,26,5,1,49,5,4,0
21,1,15,3,4,59,5,15,0
33,2,31,2,8,52,1,19,0
41,3,11,2,3,57,5,18,1
33,2,39,5,2,30,2,10,0
19,3,23,5,1,56,5,1,0
45,1,41,4,3,59,3,13,0
49,1,8,2,1,36,5,14,0
44,1,42,1,4,48,3,2,0
37,2,28,2,9,30,2,16,0
41,2,41,3,5,42,4,8,1
29,3,10,4,8,58,5,5,1
52,1,29,5,7,41,3,0,0
50,1,5,5,4,21,2,14,0
50,3,39,4,8,52,2,19,0
60,3,26,1,4,52,2,13,0
54,4,9,5,3,34,4,17,0
29,2,13,5,5,34,1,11,0
20,1,22,1,2,27,5,18,0
18,2,1,4,7,52,1,3,0
50,3,4,1,1,27,4,17,0
57,1,17,3,3,29,5,12,0
27,3,40,2,2,46,2,16,0
60,3,39,2,3,54,5,12,1
61,4,0,4,3,28,3,9,0
46,4,3,1,3,23,5,12,0
30,1,46,2,6,41,2,17,0
29,2,44,1,9,38,5,8,0
48,4,5,4,4,45,5,6,1
63,3,0,5,7,32,4,3,0
19,3,5,1,1,61,1,16,0
52,3,31,1,2,54,2,0,0
40,2,42,2,2,63,3,14,0
34,2,37,5,3,41,4,1,0
43,2,46,3,6,48,3,2,0
25,1,13,5,6,50,5,15,0
46,2,28,2,5,50,3,14,0
43,3,4,2,5,62,2,16,0
27,3,45,3,3,24,5,3,0
43,1,0,5,7,42,5,4,0
51,2,30,2,4,62,4,14,1
58,4,5,5,8,24,5,12,0
24,1,35,3,8,57,1,11,0
21,4,32,1,1,29,5,17,0
62,3,26,3,4,26,2,17,0
28,2,9,4,4,31,4,17,0
46,1,26,5,2,60,1,14,0
53,2,0,4,9,38,2,15,0
42,2,28,2,2,63,4,11,1
38,4,17,4,1,29,3,17,0
53,4,13,4,3,25,3,13,0
27,3,24,4,3,35,4,8,0
54,4,5,5,5,37,1,8,0
26,4,31,2,3,39,2,3,0
41,4,1,5,2,21,5,15,0
52,3,23,4,6,43,3,16,0
52,3,30,4,9,45,4,15,1
53,4,35,4,5,61,1,16,0
35,1,15,3,4,22,3,2,0
56,4,16,5,3,61,1,12,0
49,1,25,4,3,25,1,17,0
41,1,0,2,3,46,2,4,0
40,4,23,1,5,27,3,0,0
49,2,27,3,1,41,5,12,1
54,2,32,1,1,54,5,11,1
29,3,37,4,7,40,5,13,0
30,2,41,5,4,39,3,12,0
40,2,10,5,5,63,1,14,0
42,3,35,2,6,51,2,17,0
52,1,14,3,5,59,2,8,0
58,3,46,5,5,58,4,7,1
47,2,5,5,5,51,1,2,0
34,4,9,3,4,28,3,18,0
37,3,9,1,3,47,4,4,0
42,2,7,4,9,63,3,7,0
39,3,28,5,8,47,3,18,0
30,4,44,3,7,47,2,15,0
36,4,11,5,7,34,3,9,0
53,4,37,3,2,57,1,7,0
29,2,12,5,6,63,2,1,0
58,2,12,5,5,52,2,14,0
36,3,46,5,5,34,3,16,0
29,2,15,2,1,47,2,12,0
26,4,19,2,8,52,5,10,1
24,4,17,2,7,53,2,10,0
45,2,1,2,3,27,5,5,0
31,4,16,1,6,58,1,0,0
48,4,38,1,9,29,3,5,0
36,2,14,5,3,25,5,9,0
64,4,0,4,1,33,2,8,0
33,4,36,1,4,56,3,5,0
22,4,4,3,9,61,3,5,0
52,3,11,3,4,30,1,11,0
29,1,11,2,3,63,3,14,0
42,4,8,2,9,25,4,0,0
38,1,15,5,5,61,2,10,0
53,4,40,4,5,56,4,12,1
40,3,21,3,2,58,5,5,1
33,4,13,2,7,45,4,9,1
56,3,30,4,9,61,5,19,1
62,1,5,2,6,39,3,0,0
59,3,2,5,6,37,1,10,0
56,2,40,2,6,34,3,0,0
31,3,15,3,3,33,3,18,0
48,1,25,1,6,35,2,11,0
22,2,37,2,8,50,2,6,0
52,1,31,4,3,57,1,2,0
40,1,24,4,5,30,3,7,0
46,2,5,3,6,62,5,0,0
60,4,46,5,7,50,1,4,0
28,4,11,4,1,61,4,15,1
35,1,33,1,2,62,3,18,0
64,1,32,5,6,45,4,2,0
29,1,36,4,1,63,3,7,0
26,1,12,4,5,41,5,1,0
27,3,6,2,5,44,3,0,0
61,4,35,4,2,30,3,0,0
34,1,26,4,3,24,2,3,0
55,4,31,1,5,25,1,8,0
24,3,19,1,4,39,2,11,0
63,4,34,2,5,26,4,15,0
30,1,12,3,1,25,4,12,0
57,1,17,1,3,62,4,15,0
59,3,18,4,2,40,2,17,0
26,4,8,5,1,47,1,7,0
44,2,10,2,9,49,5,11,1
19,4,12,3,9,29,4,11,0
22,2,11,1,3,35,2,6,0
46,2,25,4,2,46,4,18,1
54,1,28,4,6,61,4,11,0
55,2,16,5,5,47,1,10,0
36,1,6,4,6,41,2,4,0
25,4,18,3,6,29,1,14,0
62,4,5,1,3,35,1,11,0
18,4,10,4,2,24,2,7,0
39,1,41,2,2,43,2,14,0
34,2,7,1,9,47,3,2,0
24,3,39,2,6,41,1,19,0
42,3,39,5,4,44,2,11,0
62,3,39,3,4,40,4,19,0
21,4,15,4,9,54,2,19,0
53,4,13,1,8,25,5,18,0
23,4,29,5,9,29,5,14,0
48,3,34,1,5,50,1,1,0
36,4,39,4,3,44,2,4,0
61,2,1,4,4,56,2,3,0
56,2,37,1,4,36,5,8,0
44,4,3,4,7,25,2,18,0
27,2,26,3,6,50,1,11,0
43,2,42,2,2,38,2,3,0
36,3,13,1,2,38,2,14,0
56,4,4,1,8,38,2,15,0
20,1,18,5,5,61,3,14,0
62,2,20,2,5,43,4,9,1
30,2,40,2,8,40,2,15,0
45,4,34,5,8,51,1,6,0
37,3,31,2,1,44,1,10,0
45,3,0,2,9,50,2,15,0
25,2,40,3,1,61,4,0,0
58,1,10,3,4,31,4,2,0
56,4,9,2,7,46,4,19,1
18,4,16,1,1,45,5,11,1
20,2,38,3,4,43,4,19,1
30,3,37,5,8,28,5,19,0
45,3,34,1,6,58,5,1,0
42,3,30,1,3,41,1,0,0
50,3,3,4,4,64,3,5,0
55,3,8,1,5,27,5,6,0
23,4,27,1,8,51,5,0,0
61,3,25,4,7,57,3,8,0
62,2,25,2,7,41,3,4,0
49,1,11,2,8,24,4,17,0
62,1,35,5,8,21,3,11,0
64,3,26,3,2,42,3,12,0
38,4,42,4,2,30,1,18,0
33,2,15,2,5,64,5,0,0
38,2,25,4,9,35,2,10,0
28,3,4,3,7,21,1,12,0
54,3,32,1,7,32,1,16,0
53,3,16,4,8,27,3,5,0
52,2,8,2,4,62,2,10,0
36,4,15,3,1,52,5,0,0
37,2,43,1,1,46,2,4,0
35,1,13,4,4,27,5,17,0
64,1,10,4,6,30,3,18,0
58,1,40,3,1,56,3,13,0
31,1,35,3,3,55,4,11,0
32,1,2,5,6,56,1,4,0
48,4,19,1,8,54,4,18,1
18,3,30,4,7,55,2,1,0
20,4,46,5,6,22,2,12,0
33,4,3,5,1,55,2,1,0
40,2,30,5,5,63,1,17,0
28,4,42,2,6,30,5,18,0
29,1,42,5,3,48,3,2,0
27,3,17,1,6,39,5,2,0
49,4,1,1,3,31,1,6,0
33,4,13,5,5,42,5,0,0
25,4,37,3,4,61,1,10,0
55,2,24,5,2,39,5,1,0
29,1,13,2,1,59,1,8,0
41,3,5,5,3,64,5,12,1
45,1,24,5,3,58,2,4,0
25,1,39,3,6,49,1,18,0
45,2,29,3,3,23,5,14,0
53,3,22,1,7,40,2,4,0
43,2,34,1,1,29,4,2,0
25,4,43,5,2,56,1,16,0
45,1,23,1,2,61,1,8,0
45,1,32,1,2,60,2,9,0
54,4,8,5,6,32,1,3,0
58,1,23,4,2,42,5,13,0
53,2,17,1,6,60,2,1,0
44,1,44,1,4,41,4,9,0
34,4,38,3,7,23,4,19,0
26,3,28,5,4,40,3,17,0
50,1,9,5,6,50,5,5,0
37,2,44,3,6,53,2,19,0
30,1,45,1,2,29,2,7,0
45,4,26,4,5,48,1,1,0
46,4,12,1,2,32,1,4,0
30,3,13,5,2,29,2,2,0
63,3,45,4,3,61,1,7,0
52,2,37,3,5,54,2,6,0
23,1,46,4,6,35,3,10,0
35,2,31,5,8,48,1,3,0
22,4,30,5,8,37,1,13,0
64,3,31,4,9,62,4,10,1
42,2,25,4,3,54,2,19,0
19,1,35,1,6,46,2,16,0
27,4,39,2,2,36,5,0,0
47,1,39,3,9,44,5,9,0
62,3,20,2,9,33,5,15,0
22,3,12,1,9,60,4,12,1
50,3,15,4,6,39,3,6,0
18,3,46,5,5,60,4,17,1
35,3,29,3,3,34,4,10,0
49,4,15,5,7,45,5,13,1
64,1,25,5,5,38,3,15,0
28,1,30,3,1,51,2,4,0
38,1,42,1,6,54,3,16,0
43,2,21,5,8,22,5,13,0
42,2,42,3,9,21,4,6,0
39,3,31,1,1,55,1,19,0
44,4,43,3,4,59,1,13,0
30,4,31,2,2,63,2,8,0
50,1,17,4,7,21,4,16,0
51,3,35,2,4,34,1,19,0
58,4,25,2,2,33,5,17,0
52,1,30,1,2,47,1,17,0
18,1,39,2,2,58,5,2,0
38,1,0,2,1,37,5,11,0
23,1,8,1,1,41,2,4,0
45,1,33,3,6,63,2,14,0
34,4,12,5,5,60,5,8,1
22,1,7,2,2,36,3,8,0
48,4,14,5,2,33,3,15,0
22,4,11,2,9,25,3,3,0
55,1,45,5,3,53,4,16,0
20,2,18,1,6,43,4,9,1
40,2,14,3,6,25,1,4,0
54,3,24,5,1,43,3,17,0
54,1,26,4,2,60,3,18,0
27,3,17,3,4,59,1,8,0
27,2,4,4,6,44,3,16,0
36,1,44,2,8,33,3,19,0
34,2,43,1,6,23,4,15,0
38,4,38,2,2,47,3,13,0
31,4,3,2,3,56,2,10,0
26,2,41,3,8,48,1,12,0
63,3,17,4,3,22,1,18,0
18,1,8,3,2,23,1,3,0
62,3,28,1,7,46,4,19,1
30,1,29,1,9,48,1,11,0
21,1,4,4,8,55,4,13,0
18,1,15,2,5,49,2,19,0
57,2,24,3,4,49,4,9,1
49,2,30,4,5,32,1,8,0
51,3,25,5,7,52,4,11,1
45,3,26,2,6,53,4,0,0
48,3,26,3,2,30,3,19,0
25,2,37,2,4,46,5,1,0
56,2,29,2,5,23,1,2,0
43,4,39,1,3,42,5,2,0
51,1,12,1,1,37,5,19,0
